,Player,Mat,Inn,Balls,Mdns,Runs,Wkts,Ave,Econ,SR,WPI,Wp4,0w,3w+,4w,5w,Wd,Nb,Acc
1,Nathu Singh,2,2,24,-,15,1,15,3.75,24,0.5,1,1,-,-,-,1,-,95.83
2,Sachin Baby,19,2,10,-,8,2,4,4.8,5,1,4.8,-,-,-,-,-,-,100
3,Ajinkya Rahane,128,1,6,-,5,1,5,5,6,1,4,-,-,-,-,-,-,100
4,Lee Carseldine,5,1,7,-,6,1,6,5.14,7,1,3.43,-,-,-,-,1,-,85.71
4,Shrikant Mundhe,1,1,7,-,6,1,6,5.14,7,1,3.43,-,-,-,-,1,-,85.71
6,Dominic Thornely,6,4,44,-,40,3,13.33,5.45,14.67,0.75,1.64,1,-,-,-,2,-,95.45
7,Ish Sodhi,6,6,138,-,135,5,27,5.87,27.6,0.83,0.87,1,-,-,-,-,-,100
8,Lungi Ngidi,7,7,156,2,156,11,14.18,6,14.18,1.57,1.69,-,1,1,-,7,-,95.51
8,Mithun Manhas,55,3,42,-,42,-,-,6,-,-,-,2,-,-,-,-,-,100
10,Sohail Tanvir,11,11,265,-,266,22,12.09,6.02,12.05,2,1.99,4,5,1,1,17,1,93.21
11,Michael Clarke,6,5,66,-,67,2,33.5,6.09,33,0.4,0.73,2,-,-,-,-,-,100
12,Fidel Edwards,6,6,150,1,154,5,30.8,6.16,30,0.83,0.8,2,-,-,-,9,1,93.33
12,Hanuma Vihari,22,5,37,-,38,1,38,6.16,37,0.2,0.65,1,-,-,-,1,-,97.3
14,Ajit Chandila,12,12,234,-,242,11,22,6.21,21.27,0.92,1.13,6,1,1,-,-,-,100
15,Nathan Rimmington,1,1,18,-,19,-,-,6.33,-,-,-,1,-,-,-,-,-,100
15,D'Arcy Short,7,2,18,-,19,1,19,6.33,18,0.5,1.33,1,-,-,-,-,-,100
17,Dale Steyn,90,90,2153,7,2306,92,25.07,6.43,23.4,1.02,1.03,35,8,-,-,88,7,95.59
17,Sachithra Senanayake,8,8,195,1,209,9,23.22,6.43,21.67,1.13,1.11,1,-,-,-,3,-,98.46
19,Shaun Pollock,13,13,280,1,301,11,27.36,6.45,25.45,0.85,0.94,6,1,-,-,4,-,98.57
19,Muttiah Muralitharan,66,66,1577,1,1696,63,26.92,6.45,25.03,0.95,0.96,24,5,-,-,51,2,96.64
21,Anil Kumble,42,42,983,1,1058,45,23.51,6.46,21.84,1.07,1.1,17,5,2,1,13,5,98.17
21,Jayant Yadav,11,10,182,-,196,4,49,6.46,45.5,0.4,0.53,4,-,-,-,2,1,98.35
23,Mohammad Hafeez,8,4,63,-,68,2,34,6.48,31.5,0.5,0.76,2,-,-,-,2,1,95.24
24,John Hastings,3,3,61,1,66,3,22,6.49,20.33,1,1.18,1,-,-,-,2,1,95.08
24,Sunil Narine,98,97,2308,2,2498,112,22.3,6.49,20.61,1.15,1.16,31,12,6,1,28,2,98.7
26,Glenn McGrath,14,14,329,2,357,12,29.75,6.51,27.42,0.86,0.88,7,1,1,-,4,1,98.48
27,Shane Harwood,3,3,67,-,73,3,24.33,6.54,22.33,1,1.07,1,-,-,-,7,-,89.55
28,Ravichandran Ashwin,124,122,2663,4,2909,110,26.45,6.55,24.21,0.9,0.99,43,5,1,-,77,2,97.03
29,Nitish Rana,32,6,43,-,47,4,11.75,6.56,10.75,0.67,2.23,1,-,-,-,1,-,97.67
29,Mohammad Nabi,6,5,96,-,105,3,35,6.56,32,0.6,0.75,2,-,-,-,-,-,100
31,Roelof van der Merwe,21,21,455,1,498,21,23.71,6.57,21.67,1,1.11,4,1,-,-,12,-,97.36
31,Lasith Malinga,110,110,2675,8,2928,154,19.01,6.57,17.37,1.4,1.38,25,15,4,1,120,16,94.92
31,Ravi Rampaul,12,12,272,4,298,14,21.29,6.57,19.43,1.17,1.24,3,1,-,-,8,2,96.32
34,Tyron Henderson,2,2,36,-,40,1,40,6.67,36,0.5,0.67,1,-,-,-,-,-,100
35,Rashid Khan,32,31,732,2,816,38,21.47,6.69,19.26,1.23,1.25,8,5,-,-,7,-,99.04
36,Thilan Thushara,6,6,144,-,161,8,20.13,6.71,18,1.33,1.33,1,-,-,-,7,2,93.75
37,Daniel Vettori,34,34,785,-,879,28,31.39,6.72,28.04,0.82,0.86,13,2,-,-,8,-,98.98
38,Nuwan Kulasekara,5,5,107,-,120,5,24,6.73,21.4,1,1.12,1,-,-,-,5,-,95.33
38,Paul Collingwood,8,6,90,-,101,5,20.2,6.73,18,0.83,1.33,2,-,-,-,1,-,98.89
40,Graham Napier,1,1,24,-,27,1,27,6.75,24,1,1,-,-,-,-,-,-,100
40,Sachin Rana,11,3,16,-,18,-,-,6.75,-,-,-,-,-,-,-,-,-,100
