Player Name,Inn,NO,4s,6s,Balls,Runs,SR,Ave,hard_hitter,finisher,fast_scorer,consistent,balls_without_boundry,run_betn_wkts,player_initial,Surname
AB de Villiers,129.0,29.0,326.0,186.0,2619.0,3953.0,150.94,39.53,0.9240168003054601,0.2248062015503876,1.5093547155402824,39.53,2107.0,0.7275747508305648,A,Villiers
Aakash Chopra,6.0,0.0,7.0,0.0,71.0,53.0,74.65,8.83,0.39436619718309857,0.0,0.7464788732394366,8.833333333333334,64.0,0.390625,A,Chopra
Aaron Finch,73.0,6.0,176.0,67.0,1329.0,1737.0,130.7,25.93,0.8322046651617758,0.0821917808219178,1.306997742663657,25.925373134328357,1086.0,0.5810313075506446,A,Finch
Abhimanyu Mithun,8.0,3.0,4.0,1.0,26.0,34.0,130.77,6.8,0.8461538461538461,0.375,1.3076923076923077,6.8,21.0,0.5714285714285714,A,Mithun
Abhinav Mukund,2.0,0.0,1.0,0.0,22.0,19.0,86.36,9.5,0.18181818181818182,0.0,0.8636363636363636,9.5,21.0,0.7142857142857143,A,Mukund
Abhishek Jhunjhunwala,16.0,3.0,19.0,5.0,210.0,217.0,103.33,16.69,0.5047619047619047,0.1875,1.0333333333333334,16.692307692307693,186.0,0.5967741935483871,A,Jhunjhunwala
Abhishek Nayar,50.0,12.0,55.0,20.0,577.0,672.0,116.46,17.68,0.5892547660311959,0.24,1.1646447140381282,17.68421052631579,502.0,0.6613545816733067,A,Nayar
Abhishek Raut,16.0,7.0,13.0,7.0,167.0,194.0,116.17,21.56,0.562874251497006,0.4375,1.1616766467065869,21.555555555555557,147.0,0.6802721088435374,A,Raut
Abhishek Sharma,3.0,2.0,3.0,5.0,33.0,63.0,190.91,63.0,1.2727272727272727,0.6666666666666666,1.9090909090909092,63.0,25.0,0.84,A,Sharma
Abu Nechim,6.0,5.0,4.0,1.0,26.0,36.0,138.46,36.0,0.8461538461538461,0.8333333333333334,1.3846153846153846,36.0,21.0,0.6666666666666666,A,Nechim
Adam Gilchrist,80.0,4.0,239.0,92.0,1495.0,2069.0,138.39,27.22,1.008695652173913,0.05,1.3839464882943144,27.223684210526315,1164.0,0.48195876288659795,A,Gilchrist
Adam Milne,3.0,1.0,0.0,0.0,12.0,7.0,58.33,3.5,0.0,0.3333333333333333,0.5833333333333334,3.5,12.0,0.5833333333333334,A,Milne
Adam Voges,7.0,3.0,15.0,3.0,143.0,181.0,126.57,45.25,0.5454545454545454,0.42857142857142855,1.2657342657342658,45.25,125.0,0.824,A,Voges
Adam Zampa,2.0,0.0,1.0,0.0,8.0,5.0,62.5,2.5,0.5,0.0,0.625,2.5,7.0,0.14285714285714285,A,Zampa
Aditya Dole,2.0,0.0,3.0,1.0,22.0,34.0,154.55,17.0,0.8181818181818182,0.0,1.5454545454545454,17.0,18.0,0.8888888888888888,A,Dole
Aditya Tare,28.0,4.0,40.0,11.0,273.0,339.0,124.18,14.13,0.8278388278388278,0.14285714285714285,1.2417582417582418,14.125,222.0,0.509009009009009,A,Tare
Adrian Barath,3.0,1.0,5.0,1.0,42.0,42.0,100.0,21.0,0.6190476190476191,0.3333333333333333,1.0,21.0,36.0,0.4444444444444444,A,Barath
Aiden Blizzard,7.0,0.0,21.0,2.0,90.0,120.0,133.33,17.14,1.0666666666666667,0.0,1.3333333333333333,17.142857142857142,67.0,0.3582089552238806,A,Blizzard
Ajantha Mendis,3.0,1.0,0.0,0.0,6.0,3.0,50.0,1.5,0.0,0.3333333333333333,0.5,1.5,6.0,0.5,A,Mendis
Ajinkya Rahane,119.0,15.0,359.0,65.0,2848.0,3427.0,120.33,32.95,0.6411516853932584,0.12605042016806722,1.2033005617977528,32.95192307692308,2424.0,0.6604785478547854,A,Rahane
Ajit Agarkar,22.0,12.0,13.0,5.0,154.0,179.0,116.23,17.9,0.5324675324675324,0.5454545454545454,1.1623376623376624,17.9,136.0,0.7132352941176471,A,Agarkar
Akshar Patel,51.0,15.0,37.0,32.0,542.0,686.0,126.57,19.06,0.6273062730627307,0.29411764705882354,1.2656826568265682,19.055555555555557,473.0,0.7315010570824524,A,Patel
Akshath Reddy,11.0,1.0,15.0,2.0,160.0,164.0,102.5,16.4,0.45,0.09090909090909091,1.025,16.4,143.0,0.6433566433566433,A,Reddy
Akshdeep Nath,5.0,0.0,2.0,0.0,41.0,29.0,70.73,5.8,0.1951219512195122,0.0,0.7073170731707317,5.8,39.0,0.5384615384615384,A,Nath
Albie Morkel,68.0,28.0,61.0,55.0,686.0,974.0,141.98,24.35,0.8367346938775511,0.4117647058823529,1.4198250728862973,24.35,570.0,0.7017543859649122,A,Morkel
Alex Hales,6.0,0.0,13.0,6.0,118.0,148.0,125.42,24.67,0.7457627118644068,0.0,1.2542372881355932,24.666666666666668,99.0,0.6060606060606061,A,Hales
Alfonso Thomas,4.0,2.0,1.0,1.0,19.0,20.0,105.26,10.0,0.5263157894736842,0.5,1.0526315789473684,10.0,17.0,0.5882352941176471,A,Thomas
Ali Murtaza,3.0,2.0,1.0,0.0,14.0,10.0,71.43,10.0,0.2857142857142857,0.6666666666666666,0.7142857142857143,10.0,13.0,0.46153846153846156,A,Murtaza
Ambati Rayudu,123.0,20.0,258.0,113.0,2317.0,3018.0,130.25,29.3,0.7380233059991368,0.16260162601626016,1.3025463962019854,29.300970873786408,1946.0,0.6721479958890031,A,Rayudu
Amit Mishra,52.0,23.0,27.0,5.0,365.0,341.0,93.42,11.76,0.3780821917808219,0.4423076923076923,0.9342465753424658,11.758620689655173,333.0,0.6096096096096096,A,Mishra
Amit Paunikar,5.0,0.0,9.0,0.0,58.0,49.0,84.48,9.8,0.6206896551724138,0.0,0.8448275862068966,9.8,49.0,0.2653061224489796,A,Paunikar
Amit Singh,5.0,1.0,0.0,0.0,10.0,2.0,20.0,0.5,0.0,0.2,0.2,0.5,10.0,0.2,A,Singh
Amit Uniyal,2.0,1.0,0.0,0.0,7.0,4.0,57.14,4.0,0.0,0.5,0.5714285714285714,4.0,7.0,0.5714285714285714,A,Uniyal
Andre Russell,39.0,6.0,65.0,68.0,502.0,890.0,177.29,26.97,1.3306772908366533,0.15384615384615385,1.7729083665338645,26.96969696969697,369.0,0.6016260162601627,A,Russell
Andrew Flintoff,3.0,1.0,5.0,2.0,53.0,62.0,116.98,31.0,0.6037735849056604,0.3333333333333333,1.169811320754717,31.0,46.0,0.6521739130434783,A,Flintoff
Andrew McDonald,9.0,4.0,9.0,4.0,100.0,123.0,123.0,24.6,0.6,0.4444444444444444,1.23,24.6,87.0,0.7241379310344828,A,McDonald
Andrew Symonds,36.0,9.0,74.0,41.0,750.0,974.0,129.87,36.07,0.7226666666666667,0.25,1.2986666666666666,36.074074074074076,635.0,0.6803149606299213,A,Symonds
Andrew Tye,11.0,3.0,6.0,4.0,68.0,85.0,125.0,10.63,0.7058823529411765,0.2727272727272727,1.25,10.625,58.0,0.6379310344827587,A,Tye
Angelo Mathews,42.0,11.0,44.0,29.0,575.0,724.0,125.91,23.35,0.6086956521739131,0.2619047619047619,1.2591304347826087,23.35483870967742,502.0,0.7450199203187251,A,Mathews
Aniket Choudhary,3.0,2.0,1.0,1.0,20.0,25.0,125.0,25.0,0.5,0.6666666666666666,1.25,25.0,18.0,0.8333333333333334,A,Choudhary
Anil Kumble,17.0,14.0,3.0,0.0,47.0,35.0,74.47,11.67,0.2553191489361702,0.8235294117647058,0.7446808510638298,11.666666666666666,44.0,0.5227272727272727,A,Kumble
Anirudh Singh,4.0,0.0,6.0,1.0,66.0,63.0,95.45,15.75,0.45454545454545453,0.0,0.9545454545454546,15.75,59.0,0.559322033898305,A,Singh
Ankeet Chavan,3.0,1.0,2.0,0.0,11.0,12.0,109.09,6.0,0.7272727272727273,0.3333333333333333,1.0909090909090908,6.0,9.0,0.4444444444444444,A,Chavan
Ankit Rajpoot,5.0,1.0,2.0,0.0,31.0,17.0,54.84,4.25,0.25806451612903225,0.2,0.5483870967741935,4.25,29.0,0.3103448275862069,A,Rajpoot
Ankit Sharma,10.0,3.0,7.0,4.0,67.0,87.0,129.85,12.43,0.7761194029850746,0.3,1.2985074626865671,12.428571428571429,56.0,0.625,A,Sharma
Ankit Soni,3.0,1.0,0.0,1.0,9.0,7.0,77.78,3.5,0.6666666666666666,0.3333333333333333,0.7777777777777778,3.5,8.0,0.125,A,Soni
Anureet Singh,9.0,4.0,2.0,1.0,47.0,36.0,76.6,7.2,0.2978723404255319,0.4444444444444444,0.7659574468085106,7.2,44.0,0.5,A,Singh
Anustup Majumdar,4.0,0.0,7.0,2.0,76.0,87.0,114.47,21.75,0.5263157894736842,0.0,1.144736842105263,21.75,67.0,0.7014925373134329,A,Majumdar
