Player,Inn,Balls,Runs,Econ,Wkts,4w,5w,SR,Ave,Wkt_Taker,consistent,big_wkt_taker,short_performance,player_initial,Surname
Aaron Finch,5.0,44.0,67.0,9.14,1.0,0.0,0.0,44,67,44.0,67.0,0.0,0.2,A,Finch
Aavishkar Salvi,7.0,156.0,200.0,7.69,7.0,0.0,0.0,22.29,28.57,22.285714285714285,28.571428571428573,0.0,1.0,A,Salvi
Abdur Razzak,1.0,14.0,29.0,12.43,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,A,Razzak
Abhimanyu Mithun,16.0,312.0,472.0,9.08,7.0,0.0,0.0,44.57,67.43,44.57142857142857,67.42857142857143,0.0,0.4375,A,Mithun
Abhishek Jhunjhunwala,10.0,88.0,129.0,8.8,1.0,0.0,0.0,88,129,88.0,129.0,0.0,0.1,A,Jhunjhunwala
Abhishek Nayar,19.0,239.0,322.0,8.08,9.0,0.0,0.0,26.56,35.78,26.555555555555557,35.77777777777778,0.0,0.47368421052631576,A,Nayar
Abhishek Raut,5.0,30.0,44.0,8.8,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,A,Raut
Abrar Kazi,1.0,13.0,21.0,9.69,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,A,Kazi
Abu Nechim,17.0,362.0,498.0,8.25,12.0,0.0,0.0,30.17,41.5,30.166666666666668,41.5,0.0,0.7058823529411765,A,Nechim
Adam Milne,5.0,109.0,177.0,9.74,4.0,0.0,0.0,27.25,44.25,27.25,44.25,0.0,0.8,A,Milne
Adam Voges,7.0,56.0,76.0,8.14,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,A,Voges
Adam Zampa,11.0,222.0,278.0,7.51,19.0,0.0,1.0,11.68,14.63,11.68421052631579,14.631578947368421,0.09090909090909091,1.8,A,Zampa
Aditya Dole,3.0,73.0,112.0,9.21,5.0,0.0,0.0,14.6,22.4,14.6,22.4,0.0,1.6666666666666667,A,Dole
Ajantha Mendis,10.0,244.0,285.0,7.01,8.0,0.0,0.0,30.5,35.63,30.5,35.625,0.0,0.8,A,Mendis
