PLAYER_SK,Player_Id,Player_Name,DOB,Batting_hand,Bowling_skill,Country_Name
324,325,A Ashish Reddy,2/24/1991,Right-hand bat,Right-arm medium,India
334,335,A Chandila,12/5/1983,Right-hand bat,Right-arm offbreak,India
127,128,A Chopra,9/19/1977,Right-hand bat,Right-arm offbreak,India
469,470,A Choudhary,1/28/1990,Right-hand bat,Left-arm medium,India
154,155,A Flintoff,12/6/1977,Right-hand bat,Right-arm fast-medium,England
123,124,A Kumble,10/17/1970,Right-hand bat,Legbreak googly,India
135,136,A Mishra,11/24/1982,Right-hand bat,Legbreak,India
243,244,A Mithun,10/25/1989,Right-hand bat,Right-arm medium,India
151,152,A Mukund,1/6/1990,Left-hand bat,Legbreak googly,India
72,73,A Nehra,4/29/1979,Right-hand bat,Left-arm medium-fast,India
437,438,A Nel,7/15/1977,Right-hand bat,Right-arm fast-medium,South Africa
195,196,A Singh,6/21/1981,Right-hand bat,Right-arm medium-fast,India
55,56,A Symonds,6/9/1975,Right-hand bat,Right-arm offbreak,Australia
212,213,A Uniyal,11/21/1981,Left-hand bat,Left-arm medium,India
429,430,A Zampa,3/31/1992,Right-hand bat,Legbreak googly,Australia
171,172,AA Bilakhia,5/31/1986,Right-hand bat,Right-arm medium,India
296,297,AA Chavan,10/28/1985,Left-hand bat,Slow left-arm orthodox,India
210,211,AA Jhunjhunwala,12/1/1982,Right-hand bat,Right-arm offbreak,India
444,445,AA Kazi,9/29/1989,Left-hand bat,Slow left-arm orthodox,India
12,13,AA Noffke,4/30/1977,Right-hand bat,Right-arm fast-medium,Australia
81,82,AB Agarkar,12/4/1977,Right-hand bat,Right-arm fast,India
226,227,AB Barath,4/14/1990,Right-hand bat,Right-arm offbreak,India
105,106,AB Dinda,3/25/1984,Right-hand bat,Right-arm medium-fast,India
197,198,AB McDonald,6/5/1981,Right-hand bat,Right-arm fast-medium,Australia
109,110,AB de Villiers,2/17/1984,Right-hand bat,Right-arm medium,South Africa
288,289,AC Blizzard,6/27/1984,Left-hand bat,Left-arm medium,Australia
52,53,AC Gilchrist,11/14/1971,Left-hand bat,Right-arm offbreak,Australia
273,274,AC Thomas,2/9/1977,Right-hand bat,Right-arm fast-medium,England
229,230,AC Voges,10/4/1979,Right-hand bat,Slow left-arm orthodox,Australia
136,137,AD Mascarenhas,10/30/1977,Right-hand bat,Right-arm fast-medium,England
190,191,AD Mathews,6/2/1987,Right-hand bat,Right-arm fast-medium,Sri Lanka
413,414,AD Nath,5/10/1993,Right-hand bat,Right-arm medium-fast,India
333,334,AD Russell,4/29/1988,Right-hand bat,Right-arm fast,West Indies
460,461,AF Milne,4/13/1992,Right-hand bat,Right-arm fast,New Zealand
285,286,AG Murtaza,1/1/1990,Left-hand bat,Slow left-arm orthodox,India
251,252,AG Paunikar,4/18/1988,Right-hand bat,,India
253,254,AJ Finch,11/17/1986,Right-hand bat,Slow left-arm orthodox,Australia
470,471,AJ Tye,12/12/1986,Right-handed,Right-arm medium fast,Australia
265,266,AL Menaria,10/29/1990,Left-hand bat,Slow left-arm orthodox,India
47,48,AM Nayar,10/8/1983,Left-hand bat,Right-arm medium,India
84,85,AM Rahane,6/6/1988,Right-hand bat,Right-arm medium,India
438,439,AM Salvi,10/20/1981,Right-hand bat,Right-arm medium,India
245,246,AN Ahmed,11/5/1988,Right-hand bat,Right-arm medium-fast,India
172,173,AN Ghosh,10/19/1986,Right-hand bat,Right-arm medium,India
244,245,AP Dole,10/9/1987,Right-hand bat,Right-arm medium-fast,India
329,330,AP Majumdar,4/30/1984,Right-hand bat,Legbreak googly,India
206,207,AP Tare,11/7/1987,Right-hand bat,,India
472,473,AR Bawne,12/17/1992, Right-hand bat,Right-arm offbreak,India
