Sr.No.,Player Name,Inn,NO,Runs,HS,Ave,Balls,SR,100,50,30,0,4s,6s,BpB,Bp4,Bp6,PrB,Pr4,Pr6,BBP,RpB,BIx,RpNB,ScIx,RpI,BpI,Eff,Basra,ABP
1,Abhishek Sharma,3,2,63,46*,63,33,190.91,-,-,1,-,3,5,4.13,11,6.6,66.67,19.05,47.62,24.24,5.25,127.27,0.84,106.91,21,11,51.86,253.91,6
2,Morne van Wyk,5,2,167,74*,55.67,132,126.52,-,1,2,1,19,1,6.6,6.95,132,49.1,45.51,3.59,15.15,4.1,62.12,0.76,47.15,33.4,26.4,60.06,182.18,3.8
3,Vijay Shankar,15,9,313,63,52.17,223,140.36,-,2,2,-,23,12,6.37,9.7,18.58,52.4,29.39,23,15.7,4.69,73.54,0.79,58.29,20.87,14.87,10.94,192.53,5.53
4,Jagadeesha Suchith,6,5,48,34*,48,32,150,-,-,1,-,4,2,5.33,8,16,58.33,33.33,25,18.75,4.67,87.5,0.77,67.31,8,5.33,-54.55,198,7.67
5,Adam Voges,7,3,181,45*,45.25,143,126.57,-,-,2,-,15,3,7.94,9.53,47.67,43.09,33.15,9.94,12.59,4.33,54.55,0.82,44.95,25.86,20.43,23.97,171.82,5.57
6,Hashim Amla,16,3,577,104,44.38,407,141.77,2,3,1,2,60,21,5.02,6.78,19.38,63.43,41.59,21.84,19.9,4.52,89.93,0.65,58.2,36.06,25.44,93.66,186.15,1.56
7,Iqbal Abdulla,13,11,88,33*,44,84,104.76,-,-,1,1,9,1,8.4,9.33,84,47.73,40.91,6.82,11.9,4.2,50,0.62,31.08,6.77,6.46,-73.14,148.76,9.15
8,Kane Williamson,32,5,1146,89*,42.44,834,137.41,-,11,6,1,98,39,6.09,8.51,21.38,54.62,34.21,20.42,16.43,4.57,75.06,0.75,56,35.81,26.06,86.4,179.85,3.06
9,Chris Gayle,111,14,3994,175,41.18,2650,150.72,6,24,19,7,323,292,4.31,8.2,9.08,76.21,32.35,43.87,23.21,4.95,114.87,0.47,53.62,35.98,23.87,105.42,191.89,1.49
10,Paul Collingwood,7,2,203,75,40.6,156,130.13,-,3,-,-,9,13,7.09,17.33,12,56.16,17.73,38.42,14.1,5.18,73.08,0.66,48.54,29,22.29,42.94,170.73,4.71
11,David Warner,114,15,4014,126,40.55,2824,142.14,3,36,18,7,401,160,5.03,7.04,17.65,63.88,39.96,23.92,19.87,4.57,90.79,0.64,58.18,35.21,24.77,89.58,182.68,1.71
12,MS Dhoni,158,58,4016,79,40.16,2906,138.2,-,20,34,3,275,186,6.3,10.57,15.62,55.18,27.39,27.79,15.86,4.81,76.26,0.74,56.14,25.42,18.39,33.05,178.36,4.8
13,Lendl Simmons,29,2,1079,100,39.96,852,126.64,1,11,5,2,109,44,5.57,7.82,19.36,64.87,40.41,24.47,17.96,4.58,82.16,0.54,44.55,37.21,29.38,78.48,166.61,1.1
14,Shaun Marsh,69,7,2477,115*,39.95,1866,132.74,1,20,16,1,266,78,5.42,7.02,23.92,61.85,42.96,18.89,18.44,4.45,82.1,0.62,50.98,35.9,27.04,80.5,172.7,2.48
15,Jean-Paul Duminy,77,26,2029,78,39.78,1636,124.02,-,14,13,1,126,79,7.98,12.98,20.71,48.2,24.84,23.36,12.53,4.77,59.78,0.73,43.91,26.35,21.25,23.79,163.81,4.45
16,AB de Villiers,129,29,3953,133*,39.53,2619,150.94,3,28,20,8,326,186,5.12,8.03,14.08,61.22,32.99,28.23,19.55,4.73,92.4,0.73,67.23,30.64,20.3,75.2,190.47,3.83
17,Michael Hussey,58,7,1977,116*,38.76,1612,122.64,1,15,12,1,198,52,6.45,8.14,31,55.84,40.06,15.78,15.51,4.42,68.49,0.64,43.9,34.09,27.79,58.35,161.41,1.67
18,Lokesh Rahul,44,8,1384,95,38.44,993,139.38,-,10,8,1,127,56,5.43,7.82,17.73,60.98,36.71,24.28,18.43,4.61,84.99,0.67,56.66,31.45,22.57,66.06,177.82,2.73
19,Virat Kohli,155,26,4948,113,38.36,3784,130.76,4,34,34,6,434,177,6.19,8.72,21.38,56.55,35.08,21.46,16.15,4.58,73.94,0.68,50.1,31.92,24.41,58.11,169.12,3.12
20,Chris Morris,33,20,485,82,37.31,291,166.67,-,2,3,3,36,25,4.77,8.08,11.64,60.62,29.69,30.93,20.96,4.82,101.03,0.83,83.9,14.7,8.82,-7.22,203.97,7.27
21,Steven Smith,62,16,1703,101,37.02,1293,131.71,1,5,19,1,150,45,6.63,8.62,28.73,51.09,35.23,15.85,15.08,4.46,67.29,0.76,51.05,27.47,20.85,37.04,168.73,4.18
22,Matthew Hayden,32,2,1107,93,36.9,805,137.52,-,8,9,1,121,44,4.88,6.65,18.3,67.57,43.72,23.85,20.5,4.53,92.92,0.56,52.12,34.59,25.16,80.2,174.42,2
23,Andrew Symonds,36,9,974,117,36.07,750,129.87,1,5,8,-,74,41,6.52,10.14,18.29,55.65,30.39,25.26,15.33,4.71,72.27,0.68,49.16,27.06,20.83,33.09,165.94,4.67
24,Abu Nechim,6,5,36,18*,36,26,138.46,-,-,-,-,4,1,5.2,6.5,26,61.11,44.44,16.67,19.23,4.4,84.62,0.67,56.41,6,4.33,-68.53,174.46,9
25,Kevin Pietersen,36,8,1001,103,35.75,743,134.72,1,4,10,4,91,40,5.67,8.16,18.58,60.34,36.36,23.98,17.63,4.61,81.29,0.65,52.73,27.81,20.64,41.9,170.47,3.06
26,Rishabh Pant,38,3,1248,128,35.66,767,162.71,1,8,10,4,115,67,4.21,6.67,11.45,69.07,36.86,32.21,23.73,4.74,112.39,0.66,74.16,32.84,20.18,102.42,198.37,4.11
27,David Miller,67,21,1637,101,35.59,1169,140.03,1,8,11,1,107,80,6.25,10.93,14.61,55.47,26.15,29.32,16,4.86,77.67,0.74,57.66,24.43,17.45,29.6,175.62,4.85
28,Bodapati Sumanth,4,3,35,16,35,37,94.59,-,-,-,-,3,-,12.33,12.33,-,34.29,34.29,-,8.11,4,32.43,0.68,21.94,8.75,9.25,-68.65,129.59,7.25
28,Chris Lynn,28,3,875,93,35,620,141.13,-,6,6,1,87,41,4.84,7.13,15.12,67.89,39.77,28.11,20.65,4.64,95.81,0.57,54.72,31.25,22.14,67.06,176.13,2
30,Jos Buttler,37,6,1075,95,34.68,714,150.56,-,6,5,1,102,47,4.79,7,15.19,64.19,37.95,26.23,20.87,4.63,96.64,0.68,65.85,29.05,19.3,65.7,185.24,3.59
31,Suresh Raina,172,27,4985,100,34.38,3600,138.47,1,35,34,7,448,185,5.69,8.04,19.46,58.21,35.95,22.27,17.58,4.58,80.61,0.7,56.59,28.98,20.93,52.02,172.85,3.13
32,Shubman Gill,11,5,203,57,33.83,139,146.04,-,1,2,-,22,5,5.15,6.32,27.8,58.13,43.35,14.78,19.42,4.37,84.89,0.76,64.43,18.45,12.64,2.09,179.88,6
32,Sachin Tendulkar,78,9,2334,100*,33.83,1948,119.82,1,13,23,4,295,29,6.01,6.6,67.17,58.01,50.56,7.46,16.63,4.18,69.51,0.6,41.94,29.92,24.97,35.8,153.64,2.06
34,Owais Shah,22,7,506,76*,33.73,389,130.08,-,4,2,-,34,23,6.82,11.44,16.91,54.15,26.88,27.27,14.65,4.81,70.44,0.7,49.22,23,17.68,13.32,163.81,4.68
35,Brad Hodge,63,21,1400,73,33.33,1118,125.22,-,6,15,3,122,43,6.78,9.16,26,53.29,34.86,18.43,14.76,4.52,66.73,0.69,45.79,22.22,17.75,5.41,158.56,4.4
36,Shikhar Dhawan,142,20,4058,95*,33.26,3285,123.53,-,32,23,5,460,85,6.03,7.14,38.65,57.91,45.34,12.57,16.59,4.31,71.54,0.62,44.59,28.58,23.13,33.72,156.79,2.02
37,Ajinkya Rahane,119,15,3427,103,32.95,2848,120.33,1,26,23,10,359,65,6.72,7.93,43.82,53.28,41.9,11.38,14.89,4.31,64.12,0.66,42.35,28.8,23.93,31.26,153.28,1.87
38,Shane Watson,113,15,3177,117,32.42,2250,141.2,4,16,22,4,300,157,4.92,7.5,14.33,67.42,37.77,29.65,20.31,4.69,95.2,0.58,54.95,28.12,19.91,50.37,173.62,2.95
39,Ben Rohrer,8,2,193,64,32.17,140,137.86,-,1,2,-,21,5,5.38,6.67,28,59.07,43.52,15.54,18.57,4.38,81.43,0.69,56.43,24.13,17.5,25.98,170.02,5.25
40,Rohit Sharma,168,27,4493,109,31.87,3429,131.03,1,34,27,12,379,184,6.09,9.05,18.64,58.31,33.74,24.57,16.42,4.65,76.41,0.65,49.93,26.74,20.41,32.74,162.89,3.58
41,David Wiese,8,4,127,47*,31.75,90,141.11,-,-,1,-,12,4,5.63,7.5,22.5,56.69,37.8,18.9,17.78,4.5,80,0.74,59.46,15.88,11.25,-15.15,172.86,6.75
42,Basil Thampi,7,6,31,13*,31,34,91.18,-,-,-,-,1,1,17,34,34,32.26,12.9,19.35,5.88,5,29.41,0.66,19.3,4.43,4.86,-84.71,122.18,9.29
42,Andrew Flintoff,3,1,62,24,31,53,116.98,-,-,-,-,5,2,7.57,10.6,26.5,51.61,32.26,19.35,13.21,4.57,60.38,0.65,39.38,20.67,17.67,-8.42,147.98,4.67
44,Gautam Gambhir,153,16,4218,93*,30.79,3404,123.91,-,36,22,13,492,59,6.18,6.92,57.69,55.05,46.66,8.39,16.19,4.21,68.21,0.66,45.33,27.57,22.25,29.4,154.7,1.99
45,Krunal Pandya,33,10,708,86*,30.78,460,153.91,-,1,9,-,68,30,4.69,6.76,15.33,63.84,38.42,25.42,21.3,4.61,98.26,0.71,69.49,21.45,13.94,25.08,184.7,5.7
46,Subramaniam Badrinath,67,20,1441,71*,30.66,1212,118.89,-,11,12,6,154,28,6.66,7.87,43.29,54.41,42.75,11.66,15.02,4.31,64.69,0.64,41.26,21.51,18.09,-3.14,149.55,4.9
47,Shreyas Iyer,46,6,1218,96,30.45,938,129.85,-,10,8,5,108,53,5.83,8.69,17.7,61.58,35.47,26.11,17.16,4.66,79.96,0.6,48.16,26.48,20.39,30.24,160.3,2.93
48,Faf du Plessis,52,4,1457,73,30.35,1141,127.7,-,9,13,2,127,44,6.67,8.98,25.93,52.99,34.87,18.12,14.99,4.51,67.66,0.71,47.78,28.02,21.94,35.53,158.05,2.88
49,Niraj Patel,6,2,121,57,30.25,119,101.68,-,1,1,-,14,1,7.93,8.5,119,51.24,46.28,4.96,12.61,4.13,52.1,0.57,29.56,20.17,19.83,-22.33,131.93,4.17
50,Jason Roy,8,2,179,91,29.83,134,133.58,-,1,1,-,18,8,5.15,7.44,16.75,67.04,40.22,26.82,19.4,4.62,89.55,0.55,48.92,22.38,16.75,13.22,163.42,2
51,James Franklin,16,5,327,79,29.73,301,108.64,-,1,2,-,25,8,9.12,12.04,37.63,45.26,30.58,14.68,10.96,4.48,49.17,0.67,32.84,20.44,18.81,-15.9,138.37,3.81
52,Yusuf Pathan,146,39,3164,100,29.57,2196,144.08,1,13,24,8,261,157,5.25,8.41,13.99,62.77,33,29.77,19.03,4.75,90.44,0.66,59.92,21.67,15.04,18.27,173.65,4.78
53,Ravi Bopara,22,4,531,84,29.5,453,117.22,-,3,3,2,39,16,8.24,11.62,28.31,47.46,29.38,18.08,12.14,4.58,55.63,0.7,39,24.14,20.59,7.17,146.72,2.77
54,Evin Lewis,13,-,382,65,29.38,276,138.41,-,2,4,2,32,24,4.93,8.63,11.5,71.2,33.51,37.7,20.29,4.86,98.55,0.5,49.28,29.38,21.23,54.05,167.79,2
55,Ambati Rayudu,123,20,3018,100,29.3,2317,130.25,1,17,26,10,258,113,6.25,8.98,20.5,56.66,34.19,22.47,16.01,4.61,73.8,0.67,49.61,24.54,18.84,21.06,159.56,4.27
56,Travis Head,10,3,205,75,29.29,148,138.51,-,1,3,1,12,8,7.4,12.33,18.5,46.83,23.41,23.41,13.51,4.8,64.86,0.85,55.24,20.5,14.8,7.56,167.8,3.9
57,Manoj Tiwary,85,26,1695,75,28.73,1449,116.98,-,7,18,8,156,40,7.39,9.29,36.23,50.97,36.81,14.16,13.53,4.41,59.63,0.66,39.55,19.94,17.05,-11.64,145.71,4.61
