,Player,Mat,Runs,HS,Ave,SR,Wkts,Ave,Econ,Ave Diff,Ct,RO
1,Suresh Raina,175,4985,100,34.38,138.47,25,44.48,7.22,-10.1,95,15
2,MS Dhoni,174,4016,79,40.16,138.2,-,-,-,-,87,21
3,Rohit Sharma,173,4493,109,31.87,131.03,15,29.33,7.72,2.53,76,9
4,Dinesh Karthik,168,3401,86,26.78,128.73,-,-,-,-,102,14
5,Robin Uthappa,165,4129,87,28.67,131.71,-,-,-,-,80,8
6,Yusuf Pathan,164,3164,100,29.57,144.08,42,33.5,7.17,-3.93,42,10
7,Virat Kohli,163,4948,113,38.36,130.76,4,92,8.36,-53.64,68,16
8,Gautam Gambhir,154,4218,93*,30.79,123.91,-,-,-,-,28,7
9,Ravindra Jadeja,154,1821,48,23.65,122.79,93,30.2,7.64,-6.56,55,20
10,Harbhajan Singh,149,828,64*,15.33,138.69,134,27.28,6.9,-11.94,44,8
11,Shikhar Dhawan,145,4058,95*,33.26,123.53,4,16.5,8.08,16.76,64,3
12,Piyush Chawla,144,542,24,11.78,111.29,140,26.24,7.64,-14.45,35,7
13,AB de Villiers,142,3953,133*,39.53,150.94,-,-,-,-,89,14
14,Amit Mishra,136,341,31,11.76,93.42,146,24.14,7.24,-12.39,19,8
15,Kieron Pollard,132,2476,78,28.14,145.73,56,31.61,8.33,-3.47,74,8
16,Ambati Rayudu,130,3018,100,29.3,130.25,-,-,-,-,47,9
17,Yuvraj Singh,129,2652,83,24.79,129.68,36,29.92,7.33,-5.13,31,7
18,Ajinkya Rahane,128,3427,103,32.95,120.33,1,5,5,27.95,51,8
19,Parthiv Patel,125,2475,81,22.1,118.42,-,-,-,-,63,10
20,Ravichandran Ashwin,124,333,45,11.1,107.07,110,26.45,6.55,-15.35,28,4
21,Dwayne Bravo,121,1403,70,23.78,128.72,136,24.18,8.12,-0.4,69,12
22,Praveen Kumar,119,340,34*,8.95,108.28,90,36.12,7.43,-27.17,13,4
23,Manish Pandey,118,2499,114,28.08,119.57,-,-,-,-,56,15
24,Shane Watson,118,3177,117,32.42,141.2,92,29.15,7.57,3.27,32,7
25,David Warner,116,4014,126,40.55,142.14,-,-,-,-,54,9
26,Wriddhiman Saha,115,1679,115,24.33,129.85,-,-,-,-,57,4
27,Naman Ojha,114,1554,94,20.72,118.35,-,-,-,-,62,7
28,Chris Gayle,112,3994,175,41.18,150.72,18,40.22,7.5,0.95,25,-
29,Lasith Malinga,110,88,17,5.5,88.89,154,19.01,6.57,-13.51,20,6
30,Brendon McCullum,110,2880,158*,27.69,131.75,-,-,-,-,38,7
31,Umesh Yadav,108,97,24,8.82,96.04,111,28.15,8.04,-19.34,25,6
32,Vinay Kumar,105,310,26,11.07,113.14,105,28.25,8.18,-17.18,36,7
33,Virender Sehwag,104,2728,122,27.56,155.44,6,39.17,10.22,-11.61,34,8
34,Bhuvneshwar Kumar,103,171,24,8.14,98.84,120,22.44,6.96,-14.3,23,4
35,Irfan Pathan,103,1139,60*,21.49,120.4,80,33.11,7.52,-11.62,31,6
36,Murali Vijay,101,2523,127,26.28,123.37,-,-,7.95,-,46,1
37,Manoj Tiwary,99,1695,75,28.73,116.98,1,83,11.32,-54.27,46,3
38,Zaheer Khan,99,117,23,8.36,82.98,102,27.27,7.35,-18.92,21,4
39,Sunil Narine,98,628,75,17.44,168.82,112,22.3,6.49,-4.86,17,1
40,Jacques Kallis,98,2427,89,28.55,109.23,65,35.28,7.65,-6.72,31,3
41,Rajat Bhatia,95,342,26,11.4,120.42,71,28.45,7.3,-17.05,25,3
42,Subramaniam Badrinath,94,1441,71*,30.66,118.89,-,-,-,-,16,5
43,Pragyan Ojha,92,16,3,1.33,35.56,89,26.2,7.19,-24.87,17,-
44,Dwayne Smith,91,2385,87,28.39,135.2,26,31.15,8.79,-2.76,41,2
45,Dale Steyn,90,166,19,7.55,105.06,92,25.07,6.43,-17.52,24,4
46,Albie Morkel,90,974,73,24.35,141.98,85,27.75,7.83,-3.4,19,4
47,Ashish Nehra,89,41,22,5.86,66.13,106,23.54,7.6,-17.68,19,1
48,Rahul Dravid,89,2174,75,28.23,115.52,-,-,-,-,18,8
49,Stuart Binny,88,810,48,18.84,125.97,21,34,7.58,-15.16,19,5
50,Mandeep Singh,85,1364,77,20.98,123.33,-,-,-,-,32,1
51,Jean-Paul Duminy,85,2029,78,39.78,124.02,23,36.26,7.14,3.52,32,4
52,Mohit Sharma,84,122,21,8.13,106.09,90,26.64,8.26,-18.51,19,3
53,RP Singh,82,52,10*,3.47,68.42,90,25.98,7.49,-22.51,29,7
54,Sanju Samson,81,1867,102*,26.67,127.35,-,-,-,-,39,7
55,Mahela Jayawardene,80,1802,110,28.6,123.26,-,-,-,-,32,6
56,Saurabh Tiwary,80,1276,61,28.36,119.59,-,-,-,-,24,4
57,Dhawal Kulkarni,80,96,28,9.6,93.2,80,25.86,7.76,-16.26,17,1
58,Adam Gilchrist,80,2069,109,27.22,138.39,1,-,-,27.22,51,8
59,Sachin Tendulkar,78,2334,100*,33.83,119.82,-,-,9.41,-,23,3
60,Ashok Dinda,78,26,7,2.6,54.17,69,30.04,7.85,-27.44,7,5
61,Ishant Sharma,76,45,9,7.5,77.59,58,38.43,7.83,-30.93,14,2
62,Siddharth Trivedi,76,42,9*,6,71.19,65,29.29,7.34,-23.29,14,3
63,Aaron Finch,75,1737,88,25.93,130.7,1,67,9.14,-41.07,24,3
64,Lakshmipathy Balaji,73,36,15,4.5,73.47,76,26.68,7.73,-22.18,11,3
65,David Miller,72,1637,101,35.59,140.03,-,-,-,-,46,4
66,Shaun Marsh,71,2477,115*,39.95,132.74,-,-,-,-,26,3
67,Yuzvendra Chahal,71,15,4,5,46.88,82,23.56,7.68,-18.56,16,3
68,Kumar Sangakkara,71,1687,94,25.95,121.19,-,-,-,-,45,4
